Analyse,Spearman_rho,P_Wert,Signifikant,Stichprobengröße,Interpretation
Heilungsgruppe vs Kontakte,0.28841347955276514,1.4597153205478613e-25,True,1260,schwach positiv
Heilungsgruppe vs Dauer,0.20977602681251922,1.826879511836118e-12,True,1106,schwach positiv
