Variable,VIF
const,36.72862583011179
P,1.5147349883844676
FLScore,1.5146593408182427
Alter-Unfall,1.0808220445431427
StatusP_numeric,2.005645935000522
StatusFL_numeric,2.1565630865234375
Gender_Male,1.0685875748452636
